ts,slug,asset,settlement,window_start,window_end,secs_left,K,spot,avg_window,sigma,sigma_q,p_up,ask_up,ask_down,bid_up,bid_down,mid_up,mid_down,up_won
1787166971896,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,228,2091.53,2093.65,2092.36,252.4,measured,0.6949,0.71,0.3082,0.7,0.29,0.705,0.295,1
1787166982260,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,218,68163.98,68186.51,68153.57,235.2,measured,0.553,0.6295,0.39,0.61,0.38,0.615,0.385,
1787166982808,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,217,2091.53,2092.67,2092.45,247.1,measured,0.6307,0.637,0.385,0.62,0.37,0.625,0.375,1
1787166993203,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,207,68163.98,68175.01,68156.67,232.2,measured,0.5229,0.56,0.4504,0.55,0.44,0.555,0.445,
1787166993363,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,207,2091.53,2092.16,2092.43,244.2,measured,0.5948,0.61,0.4125,0.6,0.39,0.605,0.395,1
1787167003699,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,196,68163.98,68170.48,68158.43,229.4,measured,0.5109,0.52,0.49,0.51,0.48,0.515,0.485,
1787167003870,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,196,2091.53,2091.85,2092.39,241.2,measured,0.574,0.5659,0.4635,0.54,0.45,0.545,0.455,1
1787167014211,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,186,68163.98,68226.29,68161.21,226.7,measured,0.6846,0.72,0.293,0.71,0.28,0.715,0.285,
1787167014362,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,186,2091.53,2093.58,2092.41,238.5,measured,0.7388,0.6881,0.355,0.65,0.32,0.665,0.345,1
1787167024765,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,175,68163.98,68194.78,68164.75,224.6,measured,0.6012,0.6191,0.4,0.6,0.39,0.605,0.395,
1787167025020,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,175,2091.53,2091.61,2092.38,235.5,measured,0.5706,0.515,0.5057,0.5,0.49,0.505,0.48,1
1787167035448,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,165,68163.98,68198.58,68167.76,222.3,measured,0.625,0.5732,0.44,0.56,0.43,0.565,0.435,
1787167035619,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,164,2091.53,2091.47,2092.34,233,measured,0.564,0.471,0.55,0.45,0.54,0.455,0.545,1
1787167046008,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,154,68163.98,68208.23,68170.15,219.9,measured,0.669,0.8,0.21,0.79,0.2,0.795,0.205,
1787167046172,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,154,2091.53,2091.79,2092.29,230.4,measured,0.6064,0.55,0.483,0.53,0.45,0.54,0.46,1
1787167056503,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,143,68163.98,68263.38,68175.78,221.1,measured,0.8402,0.92,0.09,0.91,0.08,0.915,0.085,
1787167056664,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,143,2091.53,2093.54,2092.32,228,measured,0.7909,0.8172,0.211,0.8,0.19,0.805,0.195,1
1787167067003,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,133,68163.98,68257.56,68181.18,217.1,measured,0.8548,0.89,0.12,0.88,0.11,0.885,0.115,
1787167067154,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,133,2091.53,2093.1,2092.38,227.8,measured,0.7765,0.7625,0.263,0.75,0.24,0.755,0.245,1
1787167077542,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,122,68163.98,68262.02,68185.63,215,measured,0.8882,0.93,0.08,0.92,0.07,0.925,0.075,
1787167077695,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,122,2091.53,2092.36,2092.4,225.7,measured,0.7325,0.6647,0.3528,0.65,0.34,0.655,0.345,1
1787167088083,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,112,68163.98,68283.38,68190.64,213.5,measured,0.9417,0.97,0.0402,0.96,0.03,0.965,0.035,
1787167088256,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,112,2091.53,2093.81,2092.45,224.4,measured,0.8755,0.849,0.1707,0.83,0.16,0.835,0.165,1
1787167098684,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,101,68163.98,68302.64,68195.94,211.5,measured,0.974,0.9839,0.03,0.97,0.02,0.975,0.025,
1787167098845,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,101,2091.53,2094.73,2092.53,222.2,measured,0.9428,0.95,0.064,0.94,0.05,0.945,0.055,1
1787167109203,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,91,68163.98,68314.4,68201.6,208.1,measured,0.989,,0.02,0.98,0.01,0.985,0.015,
1787167109371,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,91,2091.53,2094.71,2092.64,219.1,measured,0.961,0.97,0.0452,0.96,0.03,0.965,0.035,1
1787167119755,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,80,68163.98,68300.19,68206.3,206.4,measured,0.9914,,0.01,0.99,0,0.995,0.005,
1787167119913,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,80,2091.53,2094.71,2092.73,217.1,measured,0.9746,0.98,0.03,0.97,0.02,0.975,0.025,1
